"","x"
"cencosud",-0.385091911354318
"bci",0.341938785972594
"copec",-0.428181159720022
"colbun",0.271278421393049
"cmpc",0.514909909124748
"conchatoro",0.239766955737852
"ccu",-0.196192861624636
"sqm-b",0.641571860470732
